ahli,アーリ
alamat,アラマ###(ト)###
Allah,アッラー
aluminium,アルミニウ###ム###
angan,アン###(グ)###アン
angin,アン###(グ)###イン
antiséptik,アンティセ###プ###ティッ
asrama,ア###ス###ラマ
ATM,アーテーエ###ム###
ayam,アヤ###ム###
azimat,アズィマ###(ト)###
bailk,バイルッ
bangun,バン###(グ)###ウン
bangunan,バン###(グ)###ウンナン
bank,バン###ク###
baskom,バ###ス###コ###ム###
batalkan,バタ###ル###カン
bayangan,バヤン###(グ)###アン
béasiswa,ベアスィスワ
bedak,ブダ###(ク)###
béngkok,ベンコッ
bengong,ブン###(グ)###オン###(グ)###
bercampur,ブ###ル###チャンプル
berdébat,ブ###ル###デバ###(ト)###
bergésék,ブ###ル###ゲスッ
berhubungan,ブ###ル###フブン###(グ)###アン
beriringan,ブ###ル###イリン###(グ)###アン
berjaga,ブ###ル###ジャガ
berkecenderungan,ブ###ル###クチュンドゥルン###(グ)###アン
berpasangan,ブ###ル###パサン###(グ)###アン
berpengaruh,ブ###ル###プン###(グ)###アルー
berpengetahuan,ブ###ル###プン###(グ)###ウタフアン
bersemadi,ブ###ル###スマディ
bersepéda,ブ###ル###スペダ
berseri,ブ###ル###スリ
bertentangan,ブ###ル###トゥンタン###(グ)###アン
bertunangan,ブ###ル###トゥナン###(グ)###アン
berunding,ブルンディン###(グ)###
bilangan,ビラン###(グ)###アン
bimbingan,ビンビン###(グ)###アン
binasa,ビナサ
bunga,ブン###(グ)###ア
bungsu,ブンス
cadangan,チャダン###(グ)###アン
cendekiawan,チュンドゥキアワン
chéck,チェ###ク###イン
corét,チョレ###（ト）###チョレ###（ト）###
daftar,ダ###フ###タル
dagangan,ダガン###(グ)###アン
dekat,ドゥカ###(ト)###
dengan,ドゥンガン
dengar,ドゥンガル
departemén,ドゥパ###ル###トゥメン
dérmatitis,デルマティティ###ス###
di,ディ
dibangun,ディバン###(グ)###ウン
dibuang,ディブアン###(グ)###
dingin,ディンギン
diplomatik,ディ###プ###ロマティッ
diréktur,ディレ###ク###トゥル
disebabkan,ディスバ###ブ###カン
disertasi,ディズ###ル###タスィ
doméstik,ドメ###ス###ティッ
dongak,ドン###(グ)###アッ
dongéng,ドン###(グ)###エン###(グ)###
duanya,ドゥアニャ
dukungan,ドゥクン###(グ)###アン
éksprési,エ###ク######ス######プ###レスィ
ékstrakurikulér,エ###ク######ス######ト###ラクリクレル
élastisitas,エラ###ス###ティスィタ###ス###
énzim,エンズィ###ム###
éufémistis,エウフィミスティ###ス###
fajar,ファジャル
film,フィル###ム###
gabungan,ガブン###(グ)###アン
gaib,ガイ###(ブ)###
gantungan,ガントゥン###(グ)###アン
gara,ガラ
gelagat,グラ###ク###
gelak,グラッ
geraham,グラハ###ム###
goncangan,ゴンチャン###(グ)###アン
halangan,ハラン###(グ)###アン
hangus,ハン###(グ)###ウ###ス###
hari,ハリ
hatian,ハティアン
hidangan,ヒダン###(グ)###アン
hidup,ヒドゥ###(プ)###
hubungan,フブン###(グ)###アン
huruf,フル###フ###
iklan,イ###ク###ラン
ilmu,イルム
in,チェ###ク###イン
ingat,イン###(グ)###ア###(ト)###
ingatan,イン###(グ)###アタン
ingin,イン###(グ)###イン
ingus,イン###(グ)###ウ###ス###
istirahat,イ###ス###ティラハ###(ト)###
jaga,ジャガ
jam,ジャ###ム###
jangan,ジャン###(グ)###アン
Jepang,ジュパン###(グ)###
jeruk,ジュルッ
juru,ジュル
kacangan,カチャン###(グ)###アン
kaleng,カルン###(グ)###
kamar,カマル
kandungan,カンドゥンガン
karangan,カラン###(グ)###アン
kartu,カ###ル###トゥ
kawin,カウィン
keagungan,クアグン###(グ)###アン
kebingungan,クビングン###(グ)###アン
kebohongan,クボホン###(グ)###アン
kecanggungan,クチャングン###(グ)###アン
kécap,ケチャ###(プ)###
kecenderungan,クチュンドゥルン###(グ)###アン
kecurangan,クチュラン###(グ)###アン
kedatangan,クダタン###(グ)###アン
kedua,クドゥア
kehilangan,クヒラン###(グ)###アン
keinginan,クイン###(グ)###イナン
keingintahuan,クイン###(グ)###インタフアン
keisengan,クイスン###(グ)###アン
kekenyangan,ククニャン###(グ)###アン
kekosongan,クコソン###(グ)###アン
kelengahan,クルン###(グ)###アハン
kelip,クラ###(プ)###
kematangan,クマタン###(グ)###アン
kemenangan,クムナン###(グ)###アン
kemiringan,クミリン###(グ)###アン
kemurungan,クムルン###(グ)###アン
kenang,クナン###(グ)###
kenangan,クナン###(グ)###アン
kepentingan,クプンティン###(グ)###アン
kepulangan,クプラン###(グ)###アン
kerap,クラ###(プ)###
keras,クラ###ス###
kerikil,クリキ###ル###
keringanan,クリンガ###(グ)###アン
keringat,クリンガ###(ト)###
kesayangan,クサヤンガン
keseimbangan,クスインバン###(グ)###アン
kesenjangan,クスンジャン###(グ)###アン
kesiangan,クスィアンガン
kesombongan,クソンボン###(グ)###アン
ketegangan,クトゥガン###(グ)###アン
ketenangan,クトゥナン###(グ)###アン
keterangan,クトゥラン###(グ)###アン
ketergantungan,クトゥ###ル###ガントゥン###(グ)###アン
ketidaksenangan,クティダッスナン###(グ)###アン
keuangan,クウアン###(グ)###アン
keuntungan,クウントゥン###(グ)###アン
khotbah,コ###(ト)###バー
klaim,クライム
klién,クリエン
knalpot,###ク###ナルポ###(ト)###
koéksisténsi,コエクスィステンスィ
kompénsasi,コンペンサスィ
kontak,コンタッ
kontrak,コン###ト###ラッ
korék,コレッ###ク###
kuartal,クア###ル###タ###ル###
lain,ライン
laki,ラキ
langit,ランギ###(ト)###
lapangan,ラパン###(グ)###アン
larangan,ララン###(グ)###アン
lébar,レバル
lentur,ルントゥル
lingkungan,リンクン###(グ)###アン
lipstik,リ###プ######ス###ティッ
listrik,リ###ス######ト###リッ
lowongan,ロウォン###(グ)###アン
manajemén,マナジュメン
manufaktur,マヌファ###ク###トゥル
mébel,メブ###ル###
melindungi,ムリンドゥン###(グ)###イ
melubangi,ムルバン###(グ)###イ
memantulkan,ムマントゥルカン
membaca,ムンバチャ
membangun,ムンバン###(グ)###ウン
membangunkan,ムンバン###(グ)###ウンカン
membatalkan,ムンバタルカン
membingungkan,ムンビン###(グ)###ウンカン
membintangi,ムンビンタン###(グ)###イ
memengaruhi,ムムン###(グ)###アルヒ
memercayakan,ムンプ###ル###チャヤカン
memperingati,ムンプ###ル###イン####(グ)###アティ
memperluas,ムンプ###ル###ルア###ス###
memungut,ムムン###(グ)###ウ###(ト)###
memutuskan,ムムトゥ###ス###カン
menangani,ムナン###(グ)###アニ
menangis,ムナン###(グ)###イ###ス###
mencorét,ムンチョレ###(ト)###
méncrét,メン###ク###レ###(ト)###
mencurangi,ムンチュラン###(グ)###イ
mendinginkan,ムンディン###(グ)###インカン
menempuh,ムヌンプー
menengadah,ムヌン###(グ)###アダー
menengah,ムヌンガー
menengahi,ムヌン###(グ)###アヒ
menenggelamkan,ムヌングラ###ム###カン
menéngok,ムネン###(グ)###オッ
menerangi,ムヌラン###(グ)###イ
menerobos,ムヌロボ###ス###
menertibkan,ムヌ###ル###ティ###ブ###カン
mengabarkan,ムン###(グ)###アバ###ル###カン
mengabur,ムン###(グ)###アブル
mengagumi,ムン###(グ)###アグミ
mengaji,ムン###(グ)###アジ
mengalahkan,ムン###(グ)###アラーカン
mengalikan,ムン###(グ)###アリカン
mengandung,ムン###(グ)###アンドゥン###(グ)###
mengantuk,ムン###(グ)###アントゥッ
menganut,ムン###(グ)###アヌ###(ト)###
mengarang,ムン###(グ)###アラン###(グ)###
mengarantina,ムン###(グ)###アランティナ
mengaruniai,ムン###(グ)###アルニアイ
mengatakan,ムン###(グ)###アタカン
mengawal,ムン###(グ)###アワ###ル###
mengayuh,ムン###(グ)###アユー
mengecas,ムン###(グ)###ウチャ###ス###
mengecat,ムン###(グ)###ウチャ###(ト)###
mengecék,ムン###(グ)###ウチェ###ク###
mengecéwakan,ムン###(グ)###ウチェワカン
mengecualikan,ムン###(グ)###ウチュアリカン
mengejar,ムン###(グ)###ウジャル
mengejutkan,ムン###(グ)###ウジュ###(ト)###カン
mengelilingi,ムン###(グ)###ウリリン###(グ)###イ
mengelola,ムン###(グ)###ウロラ
